gNB(x),gNB(y),Throughput(Mbps)
2000.000000,200.000000,275.204160,
2200.000000,200.000000,276.500640,
2400.000000,200.000000,280.343360,
1800.000000,400.000000,256.831520,
2000.000000,400.000000,262.017440,
2200.000000,400.000000,257.415520,
2400.000000,400.000000,293.121280,
2600.000000,400.000000,296.964000,
2800.000000,400.000000,296.321600,
3000.000000,400.000000,321.900800,
1600.000000,600.000000,273.487200,
1800.000000,600.000000,274.666880,
2000.000000,600.000000,271.209600,
2200.000000,600.000000,271.781920,
2400.000000,600.000000,280.974080,
2600.000000,600.000000,276.383840,
2800.000000,600.000000,303.341280,
3000.000000,600.000000,300.152640,
3200.000000,600.000000,324.797440,
1400.000000,800.000000,295.924480,
1600.000000,800.000000,289.605600,
1800.000000,800.000000,288.437600,
2000.000000,800.000000,287.876960,
2200.000000,800.000000,286.136640,
2400.000000,800.000000,290.750240,
2600.000000,800.000000,285.003680,
2800.000000,800.000000,279.245440,
3000.000000,800.000000,276.956160,
3200.000000,800.000000,303.329600,
3400.000000,800.000000,321.200000,
1200.000000,1000.000000,293.576800,
1400.000000,1000.000000,300.479680,
1600.000000,1000.000000,309.122880,
1800.000000,1000.000000,305.677280,
2000.000000,1000.000000,302.804000,
2200.000000,1000.000000,307.978240,
2400.000000,1000.000000,304.544320,
2600.000000,1000.000000,293.611840,
2800.000000,1000.000000,290.750240,
3000.000000,1000.000000,290.738560,
3200.000000,1000.000000,287.876960,
3400.000000,1000.000000,326.245760,
3600.000000,1000.000000,302.570400,
1000.000000,1200.000000,291.240800,
1200.000000,1200.000000,302.745600,
1400.000000,1200.000000,309.671840,
1600.000000,1200.000000,328.640160,
1800.000000,1200.000000,330.952800,
2000.000000,1200.000000,321.760640,
2200.000000,1200.000000,325.194560,
2400.000000,1200.000000,322.356320,
2600.000000,1200.000000,314.285440,
2800.000000,1200.000000,306.272960,
3000.000000,1200.000000,299.358400,
3200.000000,1200.000000,293.611840,
3400.000000,1200.000000,271.232960,
3600.000000,1200.000000,301.028640,
3800.000000,1200.000000,303.890240,
800.000000,1400.000000,284.361280,
1000.000000,1400.000000,303.317920,
1200.000000,1400.000000,323.395840,
1400.000000,1400.000000,328.021120,
1600.000000,1400.000000,344.104480,
1800.000000,1400.000000,349.886080,
2000.000000,1400.000000,340.144960,
2200.000000,1400.000000,344.746880,
2400.000000,1400.000000,340.156640,
2600.000000,1400.000000,331.548480,
2800.000000,1400.000000,326.374240,
3000.000000,1400.000000,310.290880,
3200.000000,1400.000000,298.821120,
3400.000000,1400.000000,279.736000,
3600.000000,1400.000000,277.014560,
3800.000000,1400.000000,310.454400,
600.000000,1600.000000,271.723520,
800.000000,1600.000000,288.379200,
1000.000000,1600.000000,303.913600,
1200.000000,1600.000000,321.118240,
1400.000000,1600.000000,348.110720,
1600.000000,1600.000000,364.778080,
1800.000000,1600.000000,362.512160,
2000.000000,1600.000000,376.282880,
2200.000000,1600.000000,369.450080,
2400.000000,1600.000000,360.830240,
2600.000000,1600.000000,353.378400,
2800.000000,1600.000000,333.277120,
3000.000000,1600.000000,326.409280,
3200.000000,1600.000000,309.613440,
3400.000000,1600.000000,284.314560,
3600.000000,1600.000000,257.345440,
400.000000,1800.000000,277.119680,
600.000000,1800.000000,272.284160,
800.000000,1800.000000,293.565120,
1000.000000,1800.000000,311.949440,
1200.000000,1800.000000,325.147840,
1400.000000,1800.000000,349.290400,
1600.000000,1800.000000,367.079040,
1800.000000,1800.000000,373.993600,
2000.000000,1800.000000,380.861440,
2200.000000,1800.000000,376.341280,
2400.000000,1800.000000,375.208320,
2600.000000,1800.000000,362.582240,
2800.000000,1800.000000,340.063200,
3000.000000,1800.000000,326.257440,
3200.000000,1800.000000,312.486720,
3400.000000,1800.000000,290.656800,
3600.000000,1800.000000,251.049920,
400.000000,2000.000000,281.569760,
600.000000,2000.000000,271.151200,
800.000000,2000.000000,294.698080,
1000.000000,2000.000000,319.985280,
1200.000000,2000.000000,335.484640,
1400.000000,2000.000000,352.712640,
1600.000000,2000.000000,379.716800,
1800.000000,2000.000000,380.861440,
2000.000000,2000.000000,384.307040,
2200.000000,2000.000000,371.669280,
2400.000000,2000.000000,372.813920,
2600.000000,2000.000000,359.008160,
2800.000000,2000.000000,341.768480,
3000.000000,2000.000000,327.402080,
3200.000000,2000.000000,294.079040,
3400.000000,2000.000000,271.104480,
400.000000,2200.000000,276.453920,
600.000000,2200.000000,276.337120,
800.000000,2200.000000,299.300000,
1000.000000,2200.000000,323.991520,
1200.000000,2200.000000,347.561760,
