Case,gNB(x),gNB(y),Current_Cell_Agg_Throughput(Mbps),Total_Agg_Throughput(Mbps)
1,2200.000000,200.000000,198.521065,1972.674138
2,2400.000000,200.000000,212.498133,1986.339739
3,2600.000000,200.000000,216.819732,1991.634671
4,2800.000000,200.000000,206.385600,1993.308803
5,3000.000000,200.000000,203.582400,1989.960535
6,3200.000000,200.000000,194.900266,1982.212801
7,3400.000000,200.000000,174.927467,1971.934402
8,3600.000000,200.000000,165.739202,1966.211205
9,3800.000000,200.000000,156.239469,1956.750406
10,4000.000000,200.000000,150.282669,1946.121606
11,4200.000000,200.000000,138.485868,1929.302404
12,1400.000000,400.000000,170.450133,1946.043738
13,1600.000000,400.000000,176.913066,1953.713605
14,1800.000000,400.000000,185.750931,1958.346670
15,2000.000000,400.000000,195.678932,1968.936538
16,2200.000000,400.000000,207.592532,1980.499738
17,2400.000000,400.000000,215.651733,1989.532272
18,2600.000000,400.000000,213.160002,1994.866139
19,2800.000000,400.000000,213.471469,1998.486938
20,3000.000000,400.000000,209.694934,1994.204270
21,3200.000000,400.000000,191.980266,1989.610135
22,3400.000000,400.000000,174.499198,1992.218667
23,3600.000000,400.000000,173.253335,1972.596271
24,3800.000000,400.000000,160.054935,1957.918406
25,4000.000000,400.000000,158.186135,1957.100805
26,4200.000000,400.000000,147.051201,1941.722138
27,4400.000000,400.000000,129.141869,1939.775473
28,1000.000000,600.000000,170.917332,1946.510937
29,1200.000000,600.000000,166.167466,1941.761071
30,1400.000000,600.000000,173.837333,1949.547739
31,1600.000000,600.000000,182.169066,1954.764805
32,1800.000000,600.000000,190.656532,1963.252271
33,2000.000000,600.000000,201.012797,1973.102403
34,2200.000000,600.000000,211.135465,1982.251737
35,2400.000000,600.000000,210.473602,1991.556806
36,2600.000000,600.000000,211.446936,1992.802672
37,2800.000000,600.000000,213.276802,1994.243205
38,3000.000000,600.000000,199.572266,1994.165335
39,3200.000000,600.000000,194.394132,1989.765867
40,3400.000000,600.000000,175.939731,1990.583468
41,3600.000000,600.000000,169.905065,1988.325335
42,3800.000000,600.000000,162.741336,1963.485873
43,4000.000000,600.000000,153.592002,1946.666672
44,4200.000000,600.000000,148.958933,1944.136002
45,4400.000000,600.000000,135.799469,1947.367473
46,800.000000,800.000000,171.501333,1960.137600
47,1000.000000,800.000000,161.767999,1960.176536
48,1200.000000,800.000000,159.938137,1958.346674
49,1400.000000,800.000000,175.745065,1948.146138
50,1600.000000,800.000000,187.347197,1959.904003
51,1800.000000,800.000000,195.211732,1967.768538
52,2000.000000,800.000000,193.771201,1973.647472
53,2200.000000,800.000000,199.805866,1980.110403
54,2400.000000,800.000000,199.260799,1990.194137
55,2600.000000,800.000000,203.777067,1991.907205
56,2800.000000,800.000000,195.834664,2000.745067
57,3000.000000,800.000000,192.447464,1998.292266
58,3200.000000,800.000000,176.796268,2000.745071
59,3400.000000,800.000000,168.931736,1995.099740
60,3600.000000,800.000000,167.646930,1982.913599
61,3800.000000,800.000000,166.751469,1963.135473
62,4000.000000,800.000000,149.465066,1952.350939
63,4200.000000,800.000000,141.678398,1956.945068
64,4400.000000,800.000000,126.416533,1957.840535
65,600.000000,1000.000000,176.329067,1955.348799
66,800.000000,1000.000000,173.136533,1961.811735
67,1000.000000,1000.000000,164.298666,1962.707203
68,1200.000000,1000.000000,162.429869,1959.047473
69,1400.000000,1000.000000,170.878402,1965.082139
70,1600.000000,1000.000000,187.152531,1959.709337
71,1800.000000,1000.000000,187.931200,1968.196804
72,2000.000000,1000.000000,196.846934,1976.684272
73,2200.000000,1000.000000,193.576532,1983.575470
74,2400.000000,1000.000000,197.119466,1986.145071
75,2600.000000,1000.000000,195.094928,1995.138665
76,2800.000000,1000.000000,194.900262,1996.773866
77,3000.000000,1000.000000,191.513062,1992.452264
78,3200.000000,1000.000000,177.652800,1998.292271
79,3400.000000,1000.000000,171.228801,1994.866140
80,3600.000000,1000.000000,150.088001,1999.343469
81,3800.000000,1000.000000,142.495999,1986.222935
82,4000.000000,1000.000000,145.649600,1958.813870
83,4200.000000,1000.000000,139.692798,1955.621335
84,400.000000,1200.000000,211.369066,1982.134935
85,600.000000,1200.000000,168.230932,1956.867199
86,800.000000,1200.000000,173.681600,1962.356802
87,1000.000000,1200.000000,152.424002,1979.214941
88,1200.000000,1200.000000,151.995731,1977.268270
89,1400.000000,1200.000000,151.801065,1987.118401
90,1600.000000,1200.000000,161.495465,1994.398935
91,1800.000000,1200.000000,168.775999,2000.589336
92,2000.000000,1200.000000,203.115203,1980.460807
